Role,Input
Security Analyst,malware analyst malware washington dc passionate the computer science and technical the media trust mclean va january 2019 to june 2019 forbes meredith twitter microsoft 3rd party de javascript security engineer acumen security january 2018 to january 2019 20002 desktop suppo vulnerability june 2017 to december 2017 pxeboot maintained nessus weekly monthly active directory ad enforced information technology it nos network engineer administrator noaa nws ncep college june 2016 to july 2017 three year weather forecast offices cisco 4451 isr query language sql 12 months verizon weekly griffin networks november 2014 to june 2016 wireshark amazon baltimore county baltimore april 2020 skills cisco 1 year javascript 1 year 1 year sql 1 year
Security Analyst,cyber security llc lansdowne us may 2015 sar authorization for the authorization officer conduct ato advise government service units and system owners the organization s it security directives interview examine and testing st e general support systems january 2015 linux releases cyber itt tech hanover january 2012 to january 2014 science university of ghana november 2002 november 2006 skills security 2 years 5 years 2 years 2 years security policies 2 years 2 years nist 53 53a skills analysis develop the plan of actions and
Security Analyst,5 years the department of defense sop march system categorization forms security assessment plan information system enterprise mission assurance support service rmf memorandum for the record mfr weekly monthly june 2017 to march 2018 rman hours patch quarterly oem respond august 2016 to june 2017 microsoft office active directory legacy application internet explorer 2000 xp adobe citrix high december 2018 computer information technology norfolk state university august 2016 skills microsoft office 3 years less than 1 year january 2017 to january 2020
Security Analyst,about 6 years the risk management framework rmf fisma 800 series assessment and authorization a a oracle 10g 11g 12c rdbms enterprise grc xacta sharepoint riskvision operating systems linux january 2016 sar perform nist fisma interview system administrators review configuration management plan cmp baseline configuration fisma review security assessment and authorization sa system security ssp review review system security plan ssp select nist january 2013 to october 2015 quarterly 10g and 11g to 12c mondays saturdays cleaned weekly the week 120 days that week participate daily the day to day the previous day the day perform daily health check grid listeners parameter weekly monday noon education bachelor british college of professional management
Security Analyst,december 2018 cyber security ops dashboard configure logstash pipelines operations operations configure elasticsearch cluster ssl elasticsearch keystore ip visualize kibana upgrade production 6 5 to 7 1 create kibana role kibana sql february 2016 to december 2018 sql server platform service microsoft sql microsoft sql sql powerbi sql sql sql server azure platform sql sql february 2011 to 2016 sql sql 2005 sql 2008 2012 ssis daily alwayson sql booz allen february 2010 to february 2011 create datastage ii hyperion 11 qa dev create project server project web a ess skills sql sql 2000 sql datawarehouse datastage
Security Analyst,sharepoint support analyst april 2017 april 2017 sharepoint daily sharepoint security analyst the boeing company information june 2016 boeing verified the boeing company it training development bellevue june 2015 3 hours bootstrap maintained the boeing company june 2015 to june 2016 daily the boeing company global collaborative services bellevue january 2015 to june 2015 boeing the boeing company release management june 2014 to december 2014 functional analyst intern the boeing company supply chain systems bellevue june 2013 to september 2013 june 2012 to august 2012 identified education b s in informatics june 2014 1 year 2 years web programming 2 years microsoft sql less than 1 year 1 year project management 1 year 1 year february 2015 present additional information business
Security Analyst,java and selenium with webdriver supportive october 2018 java develop debug january 2018 to october 2018 hamilton charleston june 2016 to january 2018 veterans claims phishlabs charleston january 2016 to june 2016 quality assurance charleston august 2015 to january 2016 the veterans benefits management system ibm rational team concert front end june 2015 to august 2015 android september 2013 to april 2015 ibm rational software education bachelor of science fairfield fairfield 2013 skills test plans selenium selenium webdriver data analysis quality assurance java qa python jira additional information skills quality
Security Analyst,7 years incident response and digital forensics threat intelligence and vulnerability research work experience december tactics techniques procedures analyze javascript jquery etc research javascript may 2016 to july 2016 tim technician colorado technical university april 2013 to june 2013 the computer science it and mathematics education master of science in it strategic security management colorado technical university 2015 skills information security 7 years digital forensics 3 years 3 years incident response 5 years powershell 4 years 3 years 4 years malwarejedi
Security Analyst,security research analyst security research analyst security research excels excellent us work experience security research november 2018 daily daily september 2017 to november 2018 analyze sql sprint agile current crm seccon july 2017 to july 2018 wordpress woocommerce php front end january 2017 to march 2018 seo march 2017 to august 2017 maintained june 2014 to january 2017 windows linus day to day dns shell cron scripts education high tech institute phoenix az june 2004 to july 2005 wordpress microsoft office sql marciano additional information skills linux mysql python solaris php
Security Analyst,cctv ip nvr 1 year 2018 g suite provided technology advocacy domestic violence technology senior financial security inc 2013 to 2018 g suite supported multi voip 2001 created graphic design digital security solutions 2000 to 2001 1999 to 2000 forest high school 1997 1999 skills graphic design 10 years 10 years 10 years 10 years 10 years 10 years 10 years 10 years 10 years 10 years google analytics 10 years 10 years active directory 10 years 10 years 6 years dns vmware additional information skills server administration network
Security Analyst,us december 2018 present primary manage create perform etl tech html wordpress joomla froogel s gulfport march 2018 to december 2018 planograms produce associate froogel s gulfport august 2017 to march 2018 vendor invoice warehouse shipper receiver leather miracles hickory june 2015 to august 2015 shipping and receiving department make to stock and make to order packed goods receipt and goods issue september 2014 to march 2015 harris piranha tillerphish inc hickory september 2014 to february 2015 tech kali cisco sonicwall firewalls rock hill sc april 2014 august 2014 tech putty 2008 may 2011 to august 2012 secure flight program of department of homeland security intelligence operations fayetteville august 2010 to march 2011 daily vip dragon s lair gulfport august 2010 to january 2011 third tech java javascript august 2006 to august 2010 afghanistan operation enduring freedom 3 iraq operation iraqi freedom 1 u s forces day august 2007 to crud sso third tech html php mysql cpanel computer repair january 2004 to august 2006 ethernet maintained tech cable windows xp network houston tx june 2005 january 2006 created daily journal tech may 2015 to august 2017 5 4 years 1 year 3 years css 3 years 3 years node 1 year 2 years 2 years project management 3 years 2 years 2 years 2 years network administration 2 years microsoft 8 years 3 years distribution materials management production planning human resources warehouse management cisco routers microsoft 2003 2008 ubuntu mint decision support introduction erp design cisco router configuration cisco internetworking concepts
Security Analyst,january 2017 to january 2017 packet bgp vpn virtual volunteered the vm pod cyber september 2016 to 2017 canadian daily ids su reverse june 2015 to june 2015 wordpress 1 2 weeks wordpress xp sql php seo volunteer university of sunderland 2013 to 2014 ccna romanian romanian french european june 2012 to august 2012 monthly representative u s company 2011 negotiation state chapter 7 11 13 fund su chapter 13 less than one week salesperson u s company september 2011 to november spain applied learnt english assignment wi issaf owasp arch linux university windows forms and c voip 3cx harpley hall usb encase ftk imager kali linux sql created moot court ethical hacking university of sunderland 2012 2015 anatomy national college 2005 1 year less than 1 year less than 1 year less than 1 year category item last year 18 2016 6 2016 kali ubuntu mint 2 2016 sql 1 2012 vslm putty 1 2014 2 terrafirm 1 2014 2 packet 2 2015 ftk 3 2015 bletchley park data hex 2 2014 assembly 2 2014 metasploit ida 3 2012
Security Analyst,us moody s corporation march 2019 collaborate legal and compliance cybersecurity analyst january 2017 to march 2019 the red team threat management assist created jira project coordinator moody s corporation october 2016 to january 2017 assist digital operations greensbury market corp new york ny january 2016 to october 2016 associate consultant it risk management july 2015 to december 2015 the it risk management sourced citigroup aig deutsche bank ernst young north american q4 coursework ce ificates cybersecurity data privacy university of maryland web data university of michigan databases python university of michigan data johns hopkins university introduction big data university harvard university boston ma june 2019 november 2013 to september 2015 business texas a m university august 2009 to april 2012 skills information security 6 years 5 years 3 years 3 years 2 years 6 years microsoft office 10 years 2 years 1 year 2 years red team security engineering 1 year awards sans sans 2018 november 2018 to november 2022 cross site request forgery cross site scripting and client injection attack reconnaissance threat burp suite zap w3af tenable sc metasploit recon beef python sans boston 2018 security analysis aws serverless kali
Security Analyst,january 2019 present monitor rapid 7 perform python provide cybersecurity march 2018 to january 2019 elasticsearch carbon black endpoint cisco firesight eset endpoint zscaler tripwire securi elasticsearch tenable nessus saint deliver excel january 2017 to march 2018 moda health use ibm bigfix windows 7 provide support citrix active directory 2008 2012 exchange assist brocade virus checkpoint antivirus assist february 2016 to january 2017 asset management administer wsus troubleshoot zendesk maintain goto may 2015 to february 2016 pos future 24 hour pos configure delegate sql desktop transformation technician providence portland january 2015 may 2015 windows xp windows 7 use active directory windows 7 troubleshoot march 2014 to january 2015 support mac use active directory use bomgar utilize casper mac use clarify use citrix xendesk troubleshoot education b s in information technology security western governors university 2015 2018 skills active 5 years 5 years autodesk less less than 1 year exchange less than 1 year less than 1 year less than 1 year less than 1 year less than 1 year less than 1 year microsoft less than 1 year microsoft less than 1 year less than 1 year less than 1 year 1 year linux project cisco certified network associate
Security Analyst,the state of qatar the state of qatar march 2015 present create consulate s develop direct evaluate new york ny 2013 to 2016 qatar foundation supreme committee for delivery legacy oversaw information data processing february 2014 to february 2015 daily verified august 2011 to january 2014 the ministry of foreign affairs of the state of qatar the ministry of foreign affairs of the state of qatar it team web writer united nations department of public information september 2008 to september 2008 9 2009 arabic john jay september 2016 to december 2017 social science long island university brooklyn ny january 2008 city college of new york new york ny 2003 january 2001 skills information security network
Security Analyst,us december 2018 pci data tokenization services cisco csr vpc aws transit management of aws aws kms iam guardduty python enterprise architecture cloud engineering assess review develop security risk compliance purposes industry trend research and working ibm thales vormetric january 2018 to december 2018 data protection infrastructure security network security identity cloud security architecting microservices aws lambda the aws cloud adoption framework design ci github teamcity codepipeline aws cloudtrail cloudwatch aws elasticsearch service kinesis firehose cognito created solutions united airlines aws aws guardduty built aws aws sqs sns lambda technical january 2016 to december 2017 tco network service assurance itil september 2015 to december 2015 citrix xenapp xendesktop vmware vsphere windows wsus certificate services dns dhcp file services management nessus tripwire data comvault preparation hipaa sox pci data log solarwinds lem network november 2012 to june 2015 active directory wmi ssh lun iscsi sso active directory o mobile device management ios android windows airwatch o vmware administration vsphere network administration gateway port firewall utm management responsible switching infrastructure responsible vlans intervlan svi etherchannels load cisco ap groups wpa keys client load avc wlc vpn ipsec ssl pptp vpn network monitoring link wan june 2012 to september 2012 dubai windows sever administration active directory exchange storageworks deployment symantec endpoint protection antivirus blackberry enterprise server management android windows digital media sever administration support provisioning liaising with service providers process documentation june 2008 to january 2009 motorola canopy provisioning of internet network design and drafting customer premise equipment backhaul links monitoring of network activities intermapper education masters in information technology management university of wollongong january 2012 to december 2013 bachelor of science in computer engineering obafemi awolowo university 2004 to 2010 skills cloud security 3 years devsecops 2 years 8 years june 2019 to june 2022 certified cloud security professional december 2018 july 2016 february 2017 september 2018 cisco certified network professional ccnp microsoft certified it professional enterprise sever administrator practitioner
Security Analyst,cybersecurity adept 2018 siem gather nist cybersecurity framework first create soc assist daily cyber security incident response team csi log 2017 to 2018 ms project erp weekly 2016 third support desk microsoft adobe android ios resolved active directory and exchange voip 2015 2015 pmo sharepoint scheduled intern new horizons computer learning center 2013 2014 active directory group 2012 active directory domain services windows october 2014 training academy june 2001 bachelor of arts english university of california davis december 1995 3 years less than 1 year july 2018 to july 2021 microsoft certified solutions associate 2012 april 2015 january 2014 to january 2017 cisco certified network associate ccna october 2001 to october 2004 additional information key skills competencies experience cybersecurity
Security Analyst,ats ciso cyber security networking linkedin recruiters 2017 2018 many years hiring managers recruiter barclay simpson new york ny february 2019 to february 2019 the cyber and information security july 2017 to january 2019 dice ats sourced abap java developer cyber security data sap past 90 days recruiter associate career path group new york ny july 2016 to july 2017 ats jobdiva sourced java net c monster dice robert half technology june 2015 to june 2016 reviewed negotiate built daily recruiter brook street new york ny june 2014 to june 2015 new york brook street recruitment provide create third september 2013 to january 2014 liaison third february 2011 to january 2013 massachusetts sec senior associates and partners monitoring finra cyber search pillsbury new york ny december 2010 to january 2011 finra cyber search pillsbury new york ny december 2010 to january 2011 concordance finra education bachelors of arts in economics in economics oglethorpe university atlanta 2017 2018 skills interviewing working hiring computer skills ats taleo greenhouse microsoft powerpoint clearwell west livenote 6 3a opticon
Security Analyst,2003 biological sciences cccm certi villanova university gd ots st petersburg fl government contract management more than 1 billion april 2019 to april 2019 crm lms learning management and business development january 2018 to december 2018 january 2018 to december 2018 crm front backend lms learning management and business development specialist health portersville prd may 2016 to december 2017 2012 to 2017 complete proposal action forms and facilitate 2015 to 2015 to 2015 2014 to 2014 to 2013 to 2013 to interprets reviews security solutions specialist l3 technologies 2013 to 2013 to negotiate department of defense dod participate interpret education professional certification cccm in government contact management villanova university 2009 bachelor s in biological sciences youngstown state university 2003
Security Analyst,senior project management and lead coordination predictive analytic methodologies us detroit december 2017 detroit charlotte nc ally bank information technology project rcsa and issues management archer coordinate user dallas tx comerica bank compliance business continuity third party risk management pega lotus notes crea commercial real estate appraisal adjunct product owner pega business process architecture adjunct product owner for cross archer pega demo the rsa archer compliance business continuity vendor management project pega ma state street bank information technology project issues management for first line of defense and compliance archer buat june 2016 to november 2016 archer technical analytic layouts assist august 2015 to may 2016 rsa archer assist support participate testable requirements definition and tracking document global cyber security kforce dallas february 2015 to july 2015 liaison gcs architecture for the cyber assurance translates solution owner s provide erisk assist uat security functional project july 2014 to september 2014 may 2011 april 2014 irving tx 3 years close out bank metlife single point of contact and sme the metlife bank line of business for it compliance applications and vendors bank provided project management analytical reporting and metrics for risk management internal audit procurement corporate counsel metlife bank reporting and metrics testing business and management established a management dashboard compliance support analyzed production management senior analyst production incident management developed the thin client initiative metlife s citrix platform sdlc apex systems metlife home loans certificate brookhaven college 2010 business central texas college 2001 10 years 2 years microsoft 8 years 6 years 8 years 8 years 8 years 8 years 2 years robinski grcp december 2015 governance risk management and compliance professional grca december 2018
Security Analyst,cism upper marlboro washington dc diacap fisma diacap dod information assurance risk management framework diarmf dod hhs irs opm dod us navy washington dc january 2011 to april 2012 the navy certification authority ca diacap don ia policies dodi dod ia controls diacap validated ashore authority april 2008 to december 2010 east coast navy ca liaison diacap information security the navy certifying authority washington dc september 2007 may 2008 medicare medicaid services cms information security and certification nist hipaa washington dc november 2006 to september 2007 defense information systems agency disa dod information assurance operations certification st e security test plans plan of actions milestones 2009 1999 to 2002 2002 skills nist
Security Analyst,information technology specialist information technology specialist compliance governance information security analyst texas temple tx us work experience information technology specialist department of atlanta december 2018 present observe the regional census center rcc area census office aco travel review cisco third comcast at installing ata s rcc aco support asset management bmc remedy smart it citrix desktop vpn mfa vpn air active directory georgia bureau of investigation via calance decatur december 2017 infosec cyber security it strategy create visio security strategy and planning review homeland security information network vdi resource engineer may 2017 to july 2017 supervise solarwinds triaging vdi issues vdi vdi vdi xendesktop vcenter citrix windows sql monitor the machine creation service provisioning services pvs update answer vdi october 2016 to february 2017 jamaica s ministry of science energy technology kingston jamaica october 2016 to february 2017 consultant for ministry of science energy technology may 2016 to september 2016 weekly daily cmd daily cmd s o p provide support company s active directory r2 supporting company s big data experienced florida blue s agile leadership collaboration teamwork spectrum n o c created service third fanatics inc september 2014 may 2016 incident management develop formed technical recovery third created s o p incident lifecycle coordinators noc operations team pci data education m s information technology in management cyber security florida institute of technology september 2014 to august 2016 park university parkville january 2005 to december 2009 active directory sharepoint microsoft office sql links us army us navy service 1981 april 1990 tn high school teacher certification state
Security Analyst,13 years 7 years csm certification proficiently daily july 2016 agile development data managers product owners developers architects coordinate the product owner and program create project charter project plan project schedule and status reports agile project pacific drilling houston march 2010 may 2016 release sprint daily scrum master five weeks agile scrum provided agile coached agile methodology empower project management halliburton houston may 2007 february 2010 sprint daily product sprint daily standup tracked daily explaining scrum guide planned coach team foundation server education bachelor economics university of houston saas sharepoint erp etl html visio crm sap september 2017 black belt present additional information core competencies project product management salesforce admin application software ms project black belt sigma minitab sql financial sap fico
Security Analyst,us april 2015 cisco ironport email security appliances esa security management appliance sma information security powershell create ironport spam cisco enhanced email filtering project amp ims url filtering anti spam outbreak cisco ironport the enhanced email filtering project test and implement ironport sma ironport participate uat assisted litigation powershell update servicenow manage next gen cisco microsoft quest project coordinator cdi corporation march 2014 to april 2015 excel setup microsoft verified weekly project manager it service delivery circuit order management hewlett packard plano october 2009 to march 2014 t1 session initiated protocol bank of america fort worth tx november 2005 october 2009 remedy project program managers voice engineers vendors client dallas tx skills sharepoint active directory cisco exchange remedy sql excel ms office powerpoint word problem troubleshooting powershell exchange 2010 2016
Security Analyst,may 2018 to august 2019 siem security operations us sr project manager business application and services fujitsu america new york ny march may 2018 support iot toyo tire north america june 2009 to march 2017 xp post mes scada erp changed it department toyo tire north america manufacturing inc white december 2006 to june 2009 mes scada sql opc engineer system engineer cac america may 2006 to november 2006 mes scada mes sap working with plc mechanical engineers atlanta kennesaw ga may 2004 april 2006 erp macola progression erp inventory planner japan kennesaw ga 2001 2002 manufacturing engineer 1997 to 2001 education master in professional study pennsylvania state university 2014 bachelor of science in computer information systems in computer information systems strayer university 2009 certificate in 1997 swift vba team active directory microsoft office sharepoint february 2019 to january 2022 june 2019 to june 2023 additional information areas of expe ise network security device management network security architecture design it control policy security assessment sql
Security Analyst,february 2017 pci t treasury department pci qsa certification assisted pci qsa nist risk management framework eu hippa contractor tyco august 2016 to january 2017 sox pci february 2015 to april 2016 security information systems and facility management latin america miami mexico brazil puerto rico 7 6 million the facility program mexico city 2 million dollar miami lad hq 2 million dollar puerto rico mexico brazil mexico puerto rico the information technology program the miami lad hq puerto rico brazil associates september 2013 to january 2015 presidio network cisco pci pci pii sr july 2006 to september 2013 canon usa it department sox 3rd party 15 million dollars kpi metrics cobit 4 1 itil frameworks it department performed sox internal audit canon usa hq department hq established a vendor management program bachelor of science 7 years 10 years 9 years 10 years security architecture skilled nist fisma pci dss hippa iso privacy program management knowledgeable european gdpr change management comprehensive enterprise architecture proficiently enterprise architecture togaf zachman frameworks operational business processes project management strong possess display cisco windows windows linux sql c net db2 microsoft sql web ms project ms exchange lotus edward oracle financials peoplesoft sap hyperion ca plex ca
Security Analyst,inc lanham information assurance fisma key competencies authorized us march 2012 develop st e security test and evaluation the designated approving authority daa authority smart think inc assist privacy impact analysis pia the privacy act officer ssp conduct a business impact analyst bia perform certification fisma sox 404 perform project manager enrollment management project bowie state university bowie md september 2014 to december 2014 bowie state university created created intern issi greenbelt md june 2014 to august 2014 international software systems inc resource scheduler software cold resource scheduler java education 2013 2015 bachelor of arts in information studies french university of ghana 2005 skills it skills ability security test and evaluations st es coso co bit iet sas n 70 pao m superb project management skills knowledge microsoft superb first project management methodologies research methods the national society of leadership and society presidential
Security Analyst,pmp certified seattle voip pmp certified worked cisco authorized us november 2014 to june 2016 harris and harris caprock security program management consultant insight global glendale ca july 2013 to december 2013 application security sharepoint voip deployment project xerox acs glendale ca march 2013 to july 2013 xerox california washington oregon arizona voip west coast cisco callmanager unified communications independent consultant project eateat llc bentonville ar september 2011 to september 2012 the global associate communications walmart world headquarters computer science oregon institute of technology 1996 to 2001 skills voip 7 years 10 years certifications licenses pmp certification csm certification agile project management additional information client more than 10 years microsoft british royal caribbean cruise lines project management professional pmp 2008 agile
Security Analyst,january 2016 microsoft minneapolis november 2013 to march 2015 lead external internal audits main liaison oem education mba in business administration central european university new york ny july 2011 to july 2012 3 years 7 years october 2017 to october 2020 certified ethical hacker additional information operating systems 2008 debian kali php python ms office products 9001 iso ts 16949 pci dss iso programming scripts python xml http ec council pmp itil service management
Security Analyst,july 2017 present co juniper pulse secure primarily rsa authentication trend micro office rsa vpn tpm microsoft bitlocker administration cyber north carolina air national guard ncang november 2009 the nc air national guard administered active directory active roles server cisco dod foundry company january 2017 to july 2017 desktop support charlotte pipe foundry company august 2013 to january 2017 approximately 1 5 million dollars desk analysts the board of directors created planned windows xp 7 10 microsoft office active directory microsoft education charlotte nc bs computer science and information johnson c smith charlotte nc skills
Security Analyst,laurel md execute coordinate third nist fisma and temple hills november 2014 to august 2019 fisma biology biology university of maryland june 2017 to june 2020 november 2018 to november 2023 u s department of defense the federal information security management january 1 2011
Security Analyst,security analyst vulnerability management it security analyst vulnerability management it security analyst vulnerability management imitor group columbia summary specialized vulnerability management and risk assessment fisma march 2016 develop the risk management framework rmf system categorization security controls implementation security assessment plan fisma nist e authentication prepare the a a assessment and authorization ato document security assessment matrix m contingency nessus nmap august 2015 to february 2016 supported system owners isso sa education bachelor s in information technology university december 2019 microsoft march 2019 to march 2022 power point
Security Analyst,glen burnie md 3 plus years 3 years security analyst privacy and data protection rmf security management operations vulnerability unisys augusta ga may 2018 to january 2019 tune logrhythm ai engine gdt gdt create monitoring intrusion detection systems ids prioritizing march 2015 may 2018 siem administer third che 1 washington dc february 2014 to december 2014 ms excel responsible insurance queries monthly verified daily verified che 2 june 2020 information assurance cyber security arnold md june 2017 bs civil engineering university of bamenda june 2012 team mac mac training time
Security Analyst,springfield us washington dc march 2016 iii assist sca participate esd cnd oversee cnd cnd sharepoint sop manage cnd freelance it consultant unique u salon lorton va september 2012 to june 2017 day va october 2013 to march 2016 monitored geospatial intelligence information management services gims sql information technology information systems programming and networking the intelligence community education bachelor s in information technology cyber security george mason fairfax va september 2008 to december 2012 visio gigamon security analytics dire weblogic sql developer service central remedy certifications licenses march 2016 to march 2019 certified ethical hacker february 2017 2020 ec council july 2017 to july 2020
Security Analyst,raleigh durham nc work experience june 2019 facilitates develops raleigh august 2017 may 2019 sailpoint reviewed agile waterfall daily global application maintenance july 2014 to july 2017 weekly hippa fda servicenow two months identity compliance operations analyst july 2014 to july 2017 sailpoint an hour sailpoint organized monthly forty sox regulations application enterprise engineer glen allen july 2014 to july 2014 agile scrum utilized servicenow cyberark cyberark june 2015 to september 2018 bachelor of science in information technology in information technology university of toledo toledo august 2010 to december 2013 waterfall practices application proficiencies hp application lifecycle management alm microsoft office synapse hpsem servicenow
Security Analyst,2016 bu excel third third party trust s grc identifies monitors hipaa hitrust iso grc identifies analyzes research cobit assists maintains hipaa hitrust maintained third third atlanta 2015 built third third pci third third ii iso 27001 pci dss aoc attestation deloitte llc atlanta 2015 2015 2014 2015 fisma irs fisma weekly stratis greenbelt md 2012 to 2014 nasa goddard space flight center fisma elevated privileges management backup restore utility bru daily additional work l suitland md stratis systems october 2019 skills microsoft office links february 2013 october 2019
Security Analyst,2018 2019 provided pli pli wireless palo alto erp monthly kiwi syslog monthly pli mcafee security dell 2013 force10 aruba cisco sonicwall dell powerconnect n series san dell cisco juniper deskside support 2011 2013 texas healthcare partnership medicaid loaded pxe boot 2009 2010 mhsa used pxe boot windows 2003 2008 wsus dns citrix mhsa 2008 2009 dell texas nortel meridian meridianmail voicemail dell latitude vpn education master of information technology in internet security mit hoffman computer technology north carolina agricultural technical state university greensboro cisco citrix tacacs vpn security voip radius intrusion recovery planning intrusion additional information technical skills platforms wireshark nessus citrix fortify radius vpn cisco palo alto intrusion detection systems intrusion prevention systems sonicwall palo alto cisco firewalls wireshark
Security Analyst,active ts sci clearance november 2018 to april 2019 information technology industrial control systems facility related control systems industrial control system information technology the energy management control security policy industrial control systems the defense information systems network disn information security analyst intern general dynamics information technology august 2018 to november 2018 barksdale afb dod skill bridge general dynamics information technology gdit security services department bossier city la gdit reviewed information security nist rmf shadowed sr information assurance engineer remote team ato defense retired annuitant pay system dod august 2015 to august 2018 global strike command air force global cyber tasking orders the department of defense combatant commands headquarters air force dod client service center barksdale afb la july 2014 to august 2015 utilized business continuity planning authored active directory information technology department of defense barksdale afb la december 2013 to july 2014 confidentiality integrity lead it administrator information assurance patrick afb fl june 2010 to december 2013 federal national and government identified tactical network march 2011 to september 2011 led joint service august 2009 to july 2010 implemented electronic records management program djibouti august 2009 to march 2010 provided communication department of defense the horn of africa directed maintenance 20 years local and international humanitarian support and philanthropy awarded military outstanding volunteer service 2010 7 years barksdale afb education bachelor of science in computer studies university of maryland associates of information resource management in information resource management community college of the air force 2010 remedy system data microsoft office latoyia licenses cism june 2019 june 2009 present additional information skills
Security Analyst,cybersecurity sullivan university 2 years us may 2019 security information and event management email intrusion prevention detection system monitoring global payments inc jeffersonville september 2017 may 2019 azure devops created 2018 february 2016 to october 2016 senior utility plant operator genentech hillsboro february 2016 to april 2016 fda asme bremerton may 2010 to march 2015 education bachelor s cybersecurity sullivan university june 2016 sql military service licenses
Security Analyst,two years pci dss the assesment and authorization fisma an extra mile us june 2017 assessment and authorization incident response contingency planning system security plan management operational and technical e authentication system of record notice fisma 800 30 information assurance analyst team usa technology fips fisma washington dc january 2016 to january 2017 fisma the requirement traceability matrix m system security fiscam fisma security sp contingency january 2018 to april 2018 april 2018 less than 1 year less than 1 year april 2018 memorandum of understanding service level agreement business impact analysis privacy impact analysis and privacy threshold analysis experienced continuous monitoring assessment and authorization fips 199 coordinate weekly fisma compliance system security fiscam assist communicate technical skills vulnerability app
Security Analyst,ga information technology sql remediation java hisp holistic information june 2019 assists assists january 2019 to june 2019 remediation planning and implementation audit support application penetration testing scheduling exception review issue management review production vulnerability management oversight vulnerability research remediation guidance oversight for the secure system development life secure code development production environment change management oversight internal and external support review project content requirements resolution of issues participate information security resiliency assurance mantech international corporation july 2017 to march 2018 rsa archer identified troubleshooting guided consolidated sr rsa archer sme information security elavon headquarters atlanta june 2016 to june 2017 information security information security sla reviewed information security guided consolidated guided archer administrator archer created archer 5 5 to 6 1 created integration services system atlanta may 2016 to june 2016 archer oversaw archer archer archer integration debugged archer third guided elavon headquarters atlanta february 2016 to march 2016 infosec information security information security governance risk and compliance pci information security the rsa archer grc tool atlanta july 2015 to november 2015 weekly first data responsible archer helped sr application support atlanta july 2012 to june 2015 a day the risk group the rsa archer qa first travelport s technical operations department cognos report writer acted travelport s mediums travelport business solutions their day built grc 2008 2008 sql 2005 c net opentext edocs xml javascript developed c net alpharetta ga september 2011 may 2012 asp net analyst atlanta january 2011 may 2011 third sdlc sql 2008 2010 asp net mvc atlanta july 2008 to january 2011 2nd 3rd triaged 24 7 weekly sdlc uat websphere 2003 2008 sql 2005 f5 s sccm f5 cisco vpn windows installer msi education m i s morrow ga sql sql visual application visio siem cyber security information
Security Analyst,tampa 2018 sarbanes oxley established corporate compliance internal audit external audit sql powershell oracle databases and active directory internal auditor wellcare health 2017 to audit methodology utilized financial controls sarbanes oxley resource informational systems pharmacy medicare medicaid regulatory audits 2014 evaluation and management medical coding auditor specialties the american medical association standards and coding guidelines 2016 reviewed sas state agencies mathematics teacher professional learning community freedom high school tampa fl 2010 bachelor of arts mathematics university of south florida 2010 skills security
Security Analyst,senior consultant senior consultant functional systems arlington va maipham 9 years sdlc maipham december 2014 sharepoint business systems analyst interimage inc arlington va january 2014 to december 2014 write gather perform january 2011 to january 2014 implement maintain poa ms update establish weekly utilized hp quality center documentation responsibilities developed maintained deliverables sharepoint hp quality center education m a may 2010 psychology university of wisconsin august 2008 skills working ms windows july 2019 present additional information clearance active secret active public trust
Security Analyst,january 2017 mcafee monthly 2 week microsoft monthly patch tuesday microsoft team monthly security analyst i university of north texas system denton july 2015 to january 2017 security awareness training security awareness brochure students for employees and for employees translated security intern university of north texas system denton june 2014 to july 2015 the disaster recovery education bachelor s in information technology university of north texas denton tx august 2011 may 2015 skills disaster recovery information security 5 years 5 years 10 years 7 years 3 years 5 years 3 years incident response 5 years powershell shell scripting gateway system administration application administration 3 years certifications licenses giac security essentials gsec certification november 2016 to november 2020 cnss 4011 infosec professionals certification may 2015 may 2015 present university of north texas technical writing certification may 2015
